Isolate	Chromosome	Region	Start	End	Most similar known cluster	Similarity	Type	Type_broad
0423_1	0423_1_cont_08	10.3	1332228	1395904	no_known_similarity	NA	NRPS-like	NRP
0423_1	0423_1_cont_08	10.4	1655150	1721892	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_09	11.1	138588	202383	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_09	11.2	267436	344480	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
0423_1	0423_1_cont_09	11.3	553329	729095	ACE1	82	NRPS,T1PKS	NRP_PKS
0423_1	0423_1_cont_09	11.4	997773	1088849	no_known_similarity	NA	fungal-RiPP-like	Other
0423_1	0423_1_cont_10	12.1	544967	607572	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
0423_1	0423_1_cont_10	12.2	745473	806940	tenuazonic acid	75	NRPS	NRP_PKS
0423_1	0423_1_cont_10	12.3	880362	954944	no_known_similarity	NA	NRPS	NRP
2012_1	2012_1_cont_00	1.1	198831	259956	no_known_similarity	NA	NRPS-like	NRP
2012_1	2012_1_cont_00	1.2	1106167	1130046	clavaric acid	100	terpene	Terpene
2012_1	2012_1_cont_00	1.3	1721893	1829042	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
2012_1	2012_1_cont_00	1.4	4161724	4238041	no_known_similarity	NA	NRPS	NRP
2012_1	2012_1_cont_00	1.5	4658974	4721007	cryptosporioptide B/cryptosporioptide A/cryptosporioptide C	7	T1PKS	Polyketide
2012_1	2012_1_cont_00	1.6	5352075	5385239	no_known_similarity	NA	terpene	Terpene
2012_1	2012_1_cont_01	2.1	1755546	1816274	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_01	2.2	2082156	2146262	no_known_similarity	NA	NRPS-like	NRP
2012_1	2012_1_cont_01	2.3	2197393	2288210	no_known_similarity	NA	fungal-RiPP-like	Other
2012_1	2012_1_cont_01	2.4	2541208	2572446	no_known_similarity	NA	terpene	Terpene
2012_1	2012_1_cont_01	2.5	2719317	2787909	nectriapyrone C/nectriapyrone D/nectriapyrone	100	T1PKS	Polyketide
2012_1	2012_1_cont_01	2.6	2994899	3023494	brassicicene C	22	indole	Terpene
2012_1	2012_1_cont_01	2.7	4501595	4532725	no_known_similarity	NA	indole	Indole
2012_1	2012_1_cont_02	3.1	3038056	3130232	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_03	4.1	146675	202459	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_03	4.2	1008938	1106418	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
2012_1	2012_1_cont_03	4.3	1861167	1921938	no_known_similarity	NA	T3PKS	Polyketide
2012_1	2012_1_cont_03	4.4	2499379	2625500	no_known_similarity	NA	arylpolyene,fungal-RiPP-like	Other
2012_1	2012_1_cont_03	4.5	3043096	3109391	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
2012_1	2012_1_cont_04	5.1	704038	794969	no_known_similarity	NA	fungal-RiPP-like	Other
2012_1	2012_1_cont_04	5.2	967312	1041764	no_known_similarity	NA	NRPS	NRP
2012_1	2012_1_cont_04	5.3	1344382	1408188	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_04	5.4	1621635	1686065	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
2012_1	2012_1_cont_04	5.5	1722030	1793105	no_known_similarity	NA	NRPS	NRP
2012_1	2012_1_cont_04	5.6	3070693	3215474	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
2012_1	2012_1_cont_05	6.1	861593	952798	no_known_similarity	NA	fungal-RiPP-like	Other
2012_1	2012_1_cont_05	6.2	1526529	1594314	epipyriculol	58	T1PKS	Polyketide
2012_1	2012_1_cont_06	7.1	31178	103381	no_known_similarity	NA	NRPS	NRP
2012_1	2012_1_cont_06	7.2	178343	240355	no_known_similarity	NA	T3PKS	Polyketide
2012_1	2012_1_cont_06	7.3	1232810	1264066	no_known_similarity	NA	indole	Indole
2012_1	2012_1_cont_06	7.4	2206164	2270006	choline	100	NRPS-like	NRP
2012_1	2012_1_cont_07	8.1	87350	113691	no_known_similarity	NA	terpene	Terpene
2012_1	2012_1_cont_07	8.2	2035449	2144082	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
2012_1	2012_1_cont_09	10.1	1307224	1370727	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_09	10.2	1505443	1577256	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
2012_1	2012_1_cont_10	11.1	549584	612418	cercosporin	43	T1PKS	Polyketide
2012_1	2012_1_cont_10	11.2	671580	734900	no_known_similarity	NA	NRPS-like	NRP
2012_1	2012_1_cont_10	11.3	1548525	1615642	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_11	12.1	253865	319590	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_12	13.1	276414	343184	scytalone/T3HN	60	T1PKS	Polyketide
2012_1	2012_1_cont_13	14.1	410823	591482	ACE1	82	NRPS,T1PKS	NRP_PKS
2012_1	2012_1_cont_13	14.2	794555	873485	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
2012_1	2012_1_cont_13	14.3	930327	998692	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_14	15.1	178120	237558	no_known_similarity	NA	NRPS-like	NRP
2012_1	2012_1_cont_14	15.2	396118	469306	no_known_similarity	NA	NRPS	NRP
2012_1	2012_1_cont_14	15.3	592535	654854	tenuazonic acid	75	NRPS	NRP_PKS
2012_1	2012_1_cont_14	15.4	793068	863101	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
2012_1	2012_1_cont_15	16.1	698702	789779	no_known_similarity	NA	fungal-RiPP-like	Other
2012_1	2012_1_cont_15	16.2	1012922	1080515	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_16	17.1	606571	668873	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_17	18.1	733922	797079	no_known_similarity	NA	T1PKS	Polyketide
2012_1	2012_1_cont_18	19.1	6356	97231	no_known_similarity	NA	fungal-RiPP-like	Other
2012_1	2012_1_cont_19	20.1	352782	443776	no_known_similarity	NA	fungal-RiPP-like	Other
2012_1	2012_1_cont_19	20.2	459252	553510	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_00	1.1	1226950	1287721	no_known_similarity	NA	T3PKS	Polyketide
24_22_1_1	24_22_1_1_cont_00	1.2	1857623	1983718	no_known_similarity	NA	arylpolyene,fungal-RiPP-like	Other
24_22_1_1	24_22_1_1_cont_00	1.3	2408641	2474936	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
24_22_1_1	24_22_1_1_cont_00	1.4	6853650	6916676	scytalone/T3HN	60	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_00	1.5	7808307	7870096	cichorine	100	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_01	2.1	205448	254298	no_known_similarity	NA	NRPS-like	NRP
24_22_1_1	24_22_1_1_cont_01	2.2	424806	491161	no_known_similarity	NA	NRPS	NRP
24_22_1_1	24_22_1_1_cont_01	2.3	702675	761672	tenuazonic acid	75	NRPS	NRP_PKS
24_22_1_1	24_22_1_1_cont_01	2.4	912981	976996	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
24_22_1_1	24_22_1_1_cont_01	2.5	5231008	5307325	no_known_similarity	NA	NRPS	NRP
24_22_1_1	24_22_1_1_cont_01	2.6	6480225	6548010	epipyriculol	58	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_01	2.7	7253186	7344171	no_known_similarity	NA	fungal-RiPP-like	Other
24_22_1_1	24_22_1_1_cont_02	3.1	187093	241710	no_known_similarity	NA	NRPS-like	NRP
24_22_1_1	24_22_1_1_cont_02	3.2	1101855	1125719	clavaric acid	100	terpene	Terpene
24_22_1_1	24_22_1_1_cont_02	3.3	1693607	1802970	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
24_22_1_1	24_22_1_1_cont_02	3.4	4030912	4094754	choline	100	NRPS-like	NRP
24_22_1_1	24_22_1_1_cont_02	3.5	5017486	5048973	no_known_similarity	NA	indole	Indole
24_22_1_1	24_22_1_1_cont_02	3.6	6049747	6111759	no_known_similarity	NA	T3PKS	Polyketide
24_22_1_1	24_22_1_1_cont_02	3.7	6391121	6486341	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_02	3.8	6638059	6703784	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_03	4.1	703225	786056	no_known_similarity	NA	fungal-RiPP-like	Other
24_22_1_1	24_22_1_1_cont_03	4.2	965322	1028476	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_03	4.3	1233366	1359637	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
24_22_1_1	24_22_1_1_cont_03	4.4	2633900	2704544	no_known_similarity	NA	NRPS	NRP
24_22_1_1	24_22_1_1_cont_03	4.5	2740973	2806797	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
24_22_1_1	24_22_1_1_cont_03	4.6	2953441	3014184	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_03	4.7	3121244	3199004	no_known_similarity	NA	NRPS	NRP
24_22_1_1	24_22_1_1_cont_03	4.8	3465928	3559651	no_known_similarity	NA	fungal-RiPP-like	Other
24_22_1_1	24_22_1_1_cont_03	4.9	4227030	4287478	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_03	4.10	5244276	5348188	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_04	5.1	101108	173311	no_known_similarity	NA	NRPS	NRP
24_22_1_1	24_22_1_1_cont_04	5.2	798509	849222	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_04	5.3	980618	1070890	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_04	5.4	1095524	1177451	no_known_similarity	NA	fungal-RiPP-like	Other
24_22_1_1	24_22_1_1_cont_04	5.5	1516033	1579353	no_known_similarity	NA	NRPS-like	NRP
24_22_1_1	24_22_1_1_cont_04	5.6	1636180	1697633	cercosporin	31	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_04	5.7	2492154	2582971	no_known_similarity	NA	fungal-RiPP-like	Other
24_22_1_1	24_22_1_1_cont_04	5.8	2839006	2861912	no_known_similarity	NA	terpene	Terpene
24_22_1_1	24_22_1_1_cont_04	5.9	2971539	3003590	no_known_similarity	NA	terpene	Terpene
24_22_1_1	24_22_1_1_cont_04	5.10	3017692	3081670	nectriapyrone C/nectriapyrone D/nectriapyrone	100	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_04	5.11	4383209	4414854	no_known_similarity	NA	indole	Indole
24_22_1_1	24_22_1_1_cont_04	5.12	4575960	4640968	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_05	6.1	60351	132164	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
24_22_1_1	24_22_1_1_cont_05	6.2	306561	348982	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_05	6.3	1295662	1359338	no_known_similarity	NA	NRPS-like	NRP
24_22_1_1	24_22_1_1_cont_05	6.4	1620544	1687286	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_06	7.1	1211356	1319990	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
24_22_1_1	24_22_1_1_cont_06	7.2	1328347	1398494	no_known_similarity	NA	NRPS	NRP
24_22_1_1	24_22_1_1_cont_06	7.3	1901575	1934739	no_known_similarity	NA	terpene	Terpene
24_22_1_1	24_22_1_1_cont_07	8.1	604	39115	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_07	8.2	897341	1058487	ACE1	88	NRPS,T1PKS	NRP_PKS
24_22_1_1	24_22_1_1_cont_07	8.3	1267363	1344411	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
24_22_1_1	24_22_1_1_cont_07	8.4	1407898	1476263	no_known_similarity	NA	T1PKS	Polyketide
24_22_1_1	24_22_1_1_cont_08	9.1	372492	465604	no_known_similarity	NA	fungal-RiPP-like	Other
24_22_1_1	24_22_1_1_cont_09	10.1	64490	96209	no_known_similarity	NA	terpene	Terpene
24_22_1_1	24_22_1_1_cont_10	11.1	558885	606100	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_00	1.1	154248	207897	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_00	1.2	1105053	1206959	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_00	1.3	2168014	2212212	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_00	1.4	2905992	2990806	no_known_similarity	NA	fungal-RiPP-like	Other
2403_1	2403_1_cont_00	1.5	3266077	3342003	no_known_similarity	NA	NRPS	NRP
2403_1	2403_1_cont_00	1.6	3440459	3504265	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_00	1.7	3649029	3715315	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
2403_1	2403_1_cont_00	1.8	3751287	3822354	no_known_similarity	NA	NRPS	NRP
2403_1	2403_1_cont_00	1.9	5100899	5222509	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
2403_1	2403_1_cont_00	1.10	5435314	5496293	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_00	1.11	8550251	8612793	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
2403_1	2403_1_cont_00	1.12	9039174	9125289	no_known_similarity	NA	fungal-RiPP-like	Other
2403_1	2403_1_cont_00	1.13	10766966	10875519	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
2403_1	2403_1_cont_00	1.14	10883939	10954086	no_known_similarity	NA	NRPS	NRP
2403_1	2403_1_cont_00	1.15	11255479	11319321	choline	100	NRPS-like	NRP
2403_1	2403_1_cont_00	1.16	12241827	12273314	no_known_similarity	NA	indole	Indole
2403_1	2403_1_cont_00	1.17	13273968	13335980	no_known_similarity	NA	T3PKS	Polyketide
2403_1	2403_1_cont_00	1.18	13772691	13873308	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
2403_1	2403_1_cont_00	1.19	14021197	14086922	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_01	2.1	898801	990006	no_known_similarity	NA	fungal-RiPP-like	Other
2403_1	2403_1_cont_01	2.2	1526610	1594395	epipyriculol	58	T1PKS	Polyketide
2403_1	2403_1_cont_01	2.3	5621102	5683794	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
2403_1	2403_1_cont_01	2.4	5821694	5883165	tenuazonic acid	75	NRPS	NRP_PKS
2403_1	2403_1_cont_01	2.5	5991308	6065890	no_known_similarity	NA	NRPS	NRP
2403_1	2403_1_cont_01	2.6	6243876	6307201	no_known_similarity	NA	NRPS-like	NRP
2403_1	2403_1_cont_02	3.1	171802	202026	no_known_similarity	NA	terpene	Terpene
2403_1	2403_1_cont_02	3.2	1584037	1660354	no_known_similarity	NA	NRPS	NRP
2403_1	2403_1_cont_02	3.3	3996951	4104084	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
2403_1	2403_1_cont_02	3.4	4668954	4701661	clavaric acid	100	terpene	Terpene
2403_1	2403_1_cont_02	3.5	5530223	5593873	no_known_similarity	NA	NRPS-like	NRP
2403_1	2403_1_cont_03	4.1	438949	496296	scytalone/T3HN	60	T1PKS	Polyketide
2403_1	2403_1_cont_03	4.2	842724	893444	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_03	4.3	1022207	1112226	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_03	4.4	1136867	1219287	no_known_similarity	NA	fungal-RiPP-like	Other
2403_1	2403_1_cont_03	4.5	1557888	1621208	no_known_similarity	NA	NRPS-like	NRP
2403_1	2403_1_cont_03	4.6	1678066	1739527	cercosporin	31	T1PKS	Polyketide
2403_1	2403_1_cont_03	4.7	2531279	2622096	no_known_similarity	NA	fungal-RiPP-like	Other
2403_1	2403_1_cont_03	4.8	2878091	2900995	no_known_similarity	NA	terpene	Terpene
2403_1	2403_1_cont_03	4.9	3010570	3042621	no_known_similarity	NA	terpene	Terpene
2403_1	2403_1_cont_03	4.10	3052589	3121181	nectriapyrone C/nectriapyrone D/nectriapyrone	100	T1PKS	Polyketide
2403_1	2403_1_cont_03	4.11	4422298	4453943	no_known_similarity	NA	indole	Indole
2403_1	2403_1_cont_04	5.1	379109	472221	no_known_similarity	NA	fungal-RiPP-like	Other
2403_1	2403_1_cont_04	5.2	2415424	2476155	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_04	5.3	2739649	2795309	no_known_similarity	NA	NRPS-like	NRP
2403_1	2403_1_cont_04	5.4	3754269	3798546	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_04	5.5	3982279	4054092	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
2403_1	2403_1_cont_05	6.1	698944	790020	no_known_similarity	NA	fungal-RiPP-like	Other
2403_1	2403_1_cont_05	6.2	966375	1028398	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_05	6.3	3123592	3195795	no_known_similarity	NA	NRPS	NRP
2403_1	2403_1_cont_06	7.1	722781	783552	no_known_similarity	NA	T3PKS	Polyketide
2403_1	2403_1_cont_06	7.2	1631913	1663633	no_known_similarity	NA	terpene	Terpene
2403_1	2403_1_cont_08	9.1	156564	317385	ACE1	88	NRPS,T1PKS	NRP_PKS
2403_1	2403_1_cont_08	9.2	526249	603290	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
2403_1	2403_1_cont_08	9.3	666778	735143	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_09	10.1	1	39453	no_known_similarity	NA	T1PKS	Polyketide
2403_1	2403_1_cont_13	14.1	92316	124093	no_known_similarity	NA	indole	Indole
70_15	1	1.1	28482	60727	no_known_similarity	NA	terpene	Terpene
70_15	1	1.2	1469425	1545742	no_known_similarity	NA	NRPS	NRP
70_15	1	1.3	3869342	3976501	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
70_15	1	1.4	4577936	4610643	clavaric acid	100	terpene	Terpene
70_15	1	1.5	5371860	5435238	no_known_similarity	NA	NRPS-like	NRP
70_15	1	1.6	5728027	5779241	no_known_similarity	NA	T1PKS	Polyketide
70_15	1	1.7	6711257	6809938	no_known_similarity	NA	T1PKS	Polyketide
70_15	2	2.1	1088022	1148793	no_known_similarity	NA	T3PKS	Polyketide
70_15	2	2.2	1724644	1850930	no_known_similarity	NA	arylpolyene,fungal-RiPP-like	Other
70_15	2	2.3	2289890	2350634	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
70_15	2	2.4	6805733	6868893	scytalone/T3HN	60	T1PKS	Polyketide
70_15	2	2.5	7558847	7737997	ACE1	88	NRPS,T1PKS	NRP_PKS
70_15	2	2.6	7974071	8042628	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
70_15	2	2.7	8134587	8202952	no_known_similarity	NA	T1PKS	Polyketide
70_15	3	3.1	938789	1029994	no_known_similarity	NA	fungal-RiPP-like	Other
70_15	3	3.2	3628627	3696412	epipyriculol	76	T1PKS	Polyketide
70_15	3	3.3	5561363	5624134	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
70_15	3	3.4	5778295	5843014	tenuazonic acid	75	NRPS	NRP_PKS
70_15	3	3.5	6012642	6087224	no_known_similarity	NA	NRPS	NRP
70_15	3	3.6	6273818	6337143	no_known_similarity	NA	NRPS-like	NRP
70_15	4	4.1	92907	117539	no_known_similarity	NA	terpene	Terpene
70_15	4	4.2	1851428	1959470	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
70_15	4	4.3	1976255	2044714	no_known_similarity	NA	NRPS	NRP
70_15	4	4.4	2346126	2409968	choline	100	NRPS-like	NRP
70_15	4	4.5	3334630	3366117	no_known_similarity	NA	indole	Indole
70_15	4	4.6	4363131	4425143	no_known_similarity	NA	T3PKS	Polyketide
70_15	4	4.7	4666407	4767013	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
70_15	4	4.8	4914390	4980115	no_known_similarity	NA	T1PKS	Polyketide
70_15	5	5.1	246069	277714	no_known_similarity	NA	indole	Indole
70_15	5	5.2	1729896	1761134	no_known_similarity	NA	terpene	Terpene
70_15	5	5.3	2893347	2956677	cercosporin	43	T1PKS	Polyketide
70_15	5	5.4	3016429	3077179	no_known_similarity	NA	NRPS-like	NRP
70_15	5	5.5	3411989	3502983	no_known_similarity	NA	fungal-RiPP-like	Other
70_15	5	5.6	3518908	3609198	no_known_similarity	NA	T1PKS	Polyketide
70_15	5	5.7	3715202	3782641	no_known_similarity	NA	T1PKS	Polyketide
70_15	5	5.8	4370230	4442433	no_known_similarity	NA	NRPS	NRP
70_15	6	6.1	578835	662322	no_known_similarity	NA	fungal-RiPP-like	Other
70_15	6	6.2	781563	854576	no_known_similarity	NA	NRPS	NRP
70_15	6	6.3	1087579	1150904	no_known_similarity	NA	T1PKS	Polyketide
70_15	6	6.4	1422960	1489271	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
70_15	6	6.5	1525249	1596348	no_known_similarity	NA	NRPS	NRP
70_15	6	6.6	2878129	3008891	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
